cntyFIPS,cntyNAME,State,y.Wn.cnty,x.gini.state,x.prop.cummute.less.15min,x.prop.working.manufacturing
01001,Autauga,AL,93.27,0.59,0.23,0.16
01003,Baldwin,AL,126.02,0.59,0.30,0.13
01005,Barbour,AL,151.13,0.59,0.39,0.31
01007,Bibb,AL,213.35,0.59,0.25,0.24
01009,Blount,AL,100.00,0.59,0.21,0.20
01011,Bullock,AL,210.82,0.59,0.42,0.23
01013,Butler,AL,128.88,0.59,0.36,0.23
01015,Calhoun,AL,196.51,0.59,0.31,0.22
01017,Chambers,AL,125.95,0.59,0.37,0.37
01019,Cherokee,AL,134.28,0.59,0.26,0.36
01021,Chilton,AL,112.05,0.59,0.22,0.17
01023,Choctaw,AL,98.12,0.59,0.26,0.26
01025,Clarke,AL,121.95,0.59,0.36,0.29
01027,Clay,AL,119.17,0.59,0.33,0.37
01029,Cleburne,AL,37.41,0.59,0.26,0.27
01031,Coffee,AL,152.15,0.59,0.38,0.17
01033,Colbert,AL,161.49,0.59,0.35,0.21
01035,Conecuh,AL,127.74,0.59,0.29,0.26
01037,Coosa,AL,26.00,0.59,0.23,0.37
01039,Covington,AL,131.06,0.59,0.42,0.19
01041,Crenshaw,AL,147.38,0.59,0.28,0.16
01043,Cullman,AL,386.15,0.59,0.28,0.23
01045,Dale,AL,136.32,0.59,0.38,0.14
01047,Dallas,AL,134.64,0.59,0.38,0.25
01049,De Kalb,AL,99.99,0.59,0.31,0.40
01051,Elmore,AL,168.35,0.59,0.18,0.15
01053,Escambia,AL,148.23,0.59,0.42,0.22
01055,Etowah,AL,195.06,0.59,0.30,0.21
01057,Fayette,AL,117.75,0.59,0.34,0.31
01059,Franklin,AL,144.16,0.59,0.36,0.35
01061,Geneva,AL,74.65,0.59,0.28,0.19
01063,Greene,AL,121.55,0.59,0.28,0.17
01065,Hale,AL,108.50,0.59,0.30,0.25
01067,Henry,AL,104.62,0.59,0.28,0.24
01069,Houston,AL,165.34,0.59,0.38,0.14
01071,Jackson,AL,213.60,0.59,0.32,0.35
01073,Jefferson,AL,115.21,0.59,0.22,0.10
01075,Lamar,AL,103.71,0.59,0.34,0.33
01077,Lauderdale,AL,129.98,0.59,0.31,0.22
01079,Lawrence,AL,223.94,0.59,0.19,0.31
01081,Lee,AL,113.87,0.59,0.39,0.16
01083,Limestone,AL,130.71,0.59,0.25,0.26
01085,Lowndes,AL,100.00,0.59,0.12,0.20
01087,Macon,AL,190.21,0.59,0.30,0.12
01089,Madison,AL,204.32,0.59,0.30,0.19
01091,Marengo,AL,118.40,0.59,0.40,0.29
01093,Marion,AL,179.66,0.59,0.42,0.35
01095,Marshall,AL,286.39,0.59,0.38,0.28
01097,Mobile,AL,208.26,0.59,0.25,0.14
01099,Monroe,AL,114.87,0.59,0.39,0.31
01101,Montgomery,AL,145.58,0.59,0.32,0.08
01103,Morgan,AL,279.35,0.59,0.31,0.28
01105,Perry,AL,160.53,0.59,0.29,0.28
01107,Pickens,AL,136.71,0.59,0.26,0.26
01109,Pike,AL,152.89,0.59,0.45,0.16
01111,Randolph,AL,66.35,0.59,0.30,0.35
01113,Russell,AL,166.19,0.59,0.23,0.22
01115,St Clair,AL,118.67,0.59,0.20,0.16
01117,Shelby,AL,81.40,0.59,0.19,0.10
01119,Sumter,AL,132.27,0.59,0.36,0.22
01121,Talladega,AL,213.27,0.59,0.35,0.26
01123,Tallapoosa,AL,249.40,0.59,0.35,0.32
01125,Tuscaloosa,AL,153.65,0.59,0.35,0.15
01127,Walker,AL,533.42,0.59,0.24,0.14
01129,Washington,AL,117.75,0.59,0.26,0.28
01131,Wilcox,AL,253.64,0.59,0.35,0.20
01133,Winston,AL,39.62,0.59,0.38,0.34
02020,Anchorage,AK,131.48,0.56,0.36,0.02
02050,Bethel,AK,27.04,0.56,0.90,0.01
02060,Bristol Bay,AK,10.00,0.56,0.74,0.02
02070,Dillingham,AK,37.11,0.56,0.78,0.02
02090,Fairbanks North Star,AK,76.35,0.56,0.45,0.02
02100,Haines,AK,135.46,0.56,0.71,0.03
02110,Juneau,AK,137.79,0.56,0.51,0.01
02130,Ketchikan Gateway,AK,330.86,0.56,0.52,0.06
02150,Kodiak Island,AK,357.62,0.56,0.75,0.17
02170,Matanuska Susitna,AK,17.64,0.56,0.28,0.02
02180,Nome,AK,69.55,0.56,0.93,0.01
02220,Sitka,AK,137.39,0.56,0.81,0.04
02240,Southeast Fairbanks,AK,17.07,0.56,0.60,0.03
02270,Wade Hampton,AK,64.34,0.56,0.93,0.01
02290,Yukon Koyukuk,AK,37.57,0.56,0.84,0.01
04001,Apache,AZ,74.52,0.62,0.45,0.03
04003,Cochise,AZ,119.76,0.62,0.52,0.04
04005,Coconino,AZ,161.43,0.62,0.52,0.05
04007,Gila,AZ,115.67,0.62,0.55,0.04
04009,Graham,AZ,122.78,0.62,0.54,0.03
04011,Greenlee,AZ,210.90,0.62,0.50,0.02
04012,La Paz,AZ,168.86,0.62,0.61,0.05
04013,Maricopa,AZ,211.07,0.62,0.23,0.12
04015,Mohave,AZ,214.67,0.62,0.44,0.07
04017,Navajo,AZ,124.90,0.62,0.50,0.05
04019,Pima,AZ,171.46,0.62,0.26,0.09
04021,Pinal,AZ,165.79,0.62,0.33,0.12
04023,Santa Cruz,AZ,125.47,0.62,0.43,0.08
04025,Yavapai,AZ,108.37,0.62,0.41,0.07
04027,Yuma,AZ,170.11,0.62,0.45,0.05
05001,Arkansas,AR,253.94,0.59,0.59,0.22
05003,Ashley,AR,80.09,0.59,0.50,0.28
05005,Baxter,AR,90.82,0.59,0.46,0.20
05007,Benton,AR,298.23,0.59,0.40,0.20
05009,Boone,AR,31.44,0.59,0.45,0.17
05011,Bradley,AR,114.68,0.59,0.46,0.21
05013,Calhoun,AR,104.28,0.59,0.35,0.25
05015,Carroll,AR,312.57,0.59,0.46,0.26
05017,Chicot,AR,153.39,0.59,0.51,0.13
05019,Clark,AR,93.04,0.59,0.49,0.20
05021,Clay,AR,104.48,0.59,0.49,0.32
05023,Cleburne,AR,357.34,0.59,0.40,0.22
05025,Cleveland,AR,115.07,0.59,0.18,0.26
05027,Columbia,AR,117.31,0.59,0.49,0.25
05029,Conway,AR,615.42,0.59,0.34,0.21
05031,Craighead,AR,158.34,0.59,0.46,0.19
05033,Crawford,AR,524.13,0.59,0.26,0.25
05035,Crittenden,AR,131.43,0.59,0.37,0.14
05037,Cross,AR,147.17,0.59,0.42,0.20
05039,Dallas,AR,93.60,0.59,0.45,0.31
05041,Desha,AR,82.24,0.59,0.51,0.21
05043,Drew,AR,169.64,0.59,0.49,0.24
05045,Faulkner,AR,52.45,0.59,0.33,0.16
05047,Franklin,AR,167.13,0.59,0.34,0.23
05049,Fulton,AR,126.53,0.59,0.35,0.18
05051,Garland,AR,163.72,0.59,0.36,0.12
05053,Grant,AR,82.35,0.59,0.24,0.27
05055,Greene,AR,103.59,0.59,0.46,0.33
05057,Hempstead,AR,124.28,0.59,0.43,0.33
05059,Hot Spring,AR,156.44,0.59,0.29,0.22
05061,Howard,AR,181.29,0.59,0.53,0.36
05063,Independence,AR,153.89,0.59,0.39,0.28
05065,Izard,AR,67.88,0.59,0.34,0.19
05067,Jackson,AR,88.33,0.59,0.48,0.18
05069,Jefferson,AR,169.68,0.59,0.36,0.20
05071,Johnson,AR,187.94,0.59,0.41,0.32
05073,Lafayette,AR,121.57,0.59,0.39,0.25
05075,Lawrence,AR,66.02,0.59,0.41,0.23
05077,Lee,AR,166.03,0.59,0.39,0.17
05079,Lincoln,AR,104.74,0.59,0.37,0.22
05081,Little River,AR,249.81,0.59,0.39,0.25
05083,Logan,AR,124.83,0.59,0.41,0.28
05085,Lonoke,AR,106.35,0.59,0.24,0.14
05087,Madison,AR,0.00,0.59,0.25,0.25
05089,Marion,AR,55.86,0.59,0.31,0.29
05091,Miller,AR,2.30,0.59,0.39,0.16
05093,Mississippi,AR,154.69,0.59,0.48,0.34
05095,Monroe,AR,163.19,0.59,0.52,0.17
05099,Nevada,AR,86.67,0.59,0.32,0.25
05101,Newton,AR,116.45,0.59,0.21,0.21
05103,Ouachita,AR,143.57,0.59,0.41,0.31
05105,Perry,AR,88.04,0.59,0.18,0.19
05107,Phillips,AR,145.68,0.59,0.50,0.13
05109,Pike,AR,65.54,0.59,0.37,0.24
05111,Poinsett,AR,116.35,0.59,0.39,0.28
05113,Polk,AR,80.83,0.59,0.50,0.21
