cntyFIPS,cntyNAME,State,BEA_region,climate_region,census_region,MSA_NAME,MSAFIPS,MSAclass
1001,Autauga,AL,Southeast,Southeast,South,"Montgomery, AL",33860,1
1003,Baldwin,AL,Southeast,Southeast,South,"Daphne-Fairhope-Foley, AL",19300,1
1005,Barbour,AL,Southeast,Southeast,South,,,0
1007,Bibb,AL,Southeast,Southeast,South,"Birmingham-Hoover, AL",13820,1
1009,Blount,AL,Southeast,Southeast,South,"Birmingham-Hoover, AL",13820,1
1011,Bullock,AL,Southeast,Southeast,South,,,0
1013,Butler,AL,Southeast,Southeast,South,,,0
1015,Calhoun,AL,Southeast,Southeast,South,"Anniston-Oxford-Jacksonville, AL",11500,1
1017,Chambers,AL,Southeast,Southeast,South,,,0
1019,Cherokee,AL,Southeast,Southeast,South,,,0
1021,Chilton,AL,Southeast,Southeast,South,"Birmingham-Hoover, AL",13820,1
1023,Choctaw,AL,Southeast,Southeast,South,,,0
1025,Clarke,AL,Southeast,Southeast,South,,,0
1027,Clay,AL,Southeast,Southeast,South,,,0
1029,Cleburne,AL,Southeast,Southeast,South,,,0
1031,Coffee,AL,Southeast,Southeast,South,,,0
1033,Colbert,AL,Southeast,Southeast,South,"Florence-Muscle Shoals, AL",22520,1
1035,Conecuh,AL,Southeast,Southeast,South,,,0
1037,Coosa,AL,Southeast,Southeast,South,,,0
1039,Covington,AL,Southeast,Southeast,South,,,0
1041,Crenshaw,AL,Southeast,Southeast,South,,,0
1043,Cullman,AL,Southeast,Southeast,South,,,0
1045,Dale,AL,Southeast,Southeast,South,,,0
1047,Dallas,AL,Southeast,Southeast,South,,,0
1049,De Kalb,AL,Southeast,Southeast,South,,,0
1051,Elmore,AL,Southeast,Southeast,South,"Montgomery, AL",33860,1
1053,Escambia,AL,Southeast,Southeast,South,,,0
1055,Etowah,AL,Southeast,Southeast,South,"Gadsden, AL",23460,1
1057,Fayette,AL,Southeast,Southeast,South,,,0
1059,Franklin,AL,Southeast,Southeast,South,,,0
1061,Geneva,AL,Southeast,Southeast,South,"Dothan, AL",20020,1
1063,Greene,AL,Southeast,Southeast,South,,,0
1065,Hale,AL,Southeast,Southeast,South,"Tuscaloosa, AL",46220,1
